Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,HDPE-1,3.3,12.83,100,25.4,,,,,,,,
2,HDPE-5,3.3,12.83,83.44,127,,,,,,,,
3,HDPE-20,3.3,12.73,91.19,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,29.413,12.4231,1.0856,,,,,,,,,,
,29.513,12.4646,1.0851,,,,,,,,,,
,29.613,12.5079,1.0853,,,,,,,,,,
,29.713,12.5498,1.0848,,,,,,,,,,
,29.813,12.5932,1.0844,,,,,,,,,,
,29.913,12.6349,1.0833,,,,,,,,,,
,30.013,12.6773,1.0831,,,,,,,,,,
,30.113,12.7193,1.0827,,,,,,,,,,
,30.213,12.7613,1.0822,,,,,,,,,,
,30.313,12.8042,1.0817,,,,,,,,,,
,30.413,12.8459,1.0807,,,,,,,,,,
,30.513,12.8891,1.0806,,,,,,,,,,
,30.613,12.931,1.0801,,,,,,,,,,
,30.713,12.9739,1.0802,,,,,,,,,,
,30.813,13.0156,1.0794,,,,,,,,,,
,30.913,13.0578,1.0788,,,,,,,,,,
,31.013,13.1002,1.0776,,,,,,,,,,
,31.113,13.1423,1.0776,,,,,,,,,,
,31.213,13.1854,1.0775,,,,,,,,,,
,31.313,13.2275,1.077,,,,,,,,,,
,31.413,13.2702,1.0764,,,,,,,,,,
,31.513,13.3119,1.0756,,,,,,,,,,
,31.613,13.3544,1.0751,,,,,,,,,,
,31.713,13.3966,1.0746,,,,,,,,,,
,31.813,13.4386,1.0742,,,,,,,,,,
,31.913,13.4814,1.0739,,,,,,,,,,
,32.013,13.5234,1.073,,,,,,,,,,
,32.113,13.5667,1.0725,,,,,,,,,,
,32.213,13.6082,1.072,,,,,,,,,,
