Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,23.3,9.836,0.4678,,,22.828,48.2067,0.4695,,,,,
,23.4,9.8776,0.4679,,,22.928,48.4178,0.4694,,,,,
,23.5,9.9209,0.4681,,,23.028,48.6297,0.4692,,,,,
,23.6,9.9626,0.4681,,,23.128,48.8417,0.4688,,,,,
,23.7,10.0055,0.4687,,,23.228,49.0528,0.4688,,,,,
,23.8,10.0475,0.4683,,,23.328,49.2646,0.4685,,,,,
,23.9,10.0897,0.4688,,,23.428,49.4766,0.4683,,,,,
,24,10.132,0.4686,,,23.528,49.6882,0.468,,,,,
,24.1,10.1738,0.4691,,,23.628,49.8999,0.4676,,,,,
,24.2,10.2169,0.4693,,,23.728,50.1112,0.4672,,,,,
,24.3,10.2587,0.4691,,,23.828,50.3231,0.4671,,,,,
,24.4,10.302,0.4696,,,23.928,50.535,0.4668,,,,,
,24.5,10.3438,0.4692,,,24.028,50.7461,0.4667,,,,,
,24.6,10.3864,0.4693,,,24.128,50.9579,0.4663,,,,,
,24.7,10.4285,0.47,,,24.228,51.1704,0.4661,,,,,
,24.8,10.4705,0.4693,,,24.328,51.381,0.4658,,,,,
,24.9,10.5132,0.4699,,,24.428,51.5927,0.4656,,,,,
,25,10.555,0.4697,,,24.528,51.8052,0.4654,,,,,
,25.1,10.5982,0.4701,,,24.628,52.0165,0.4648,,,,,
,25.2,10.64,0.4701,,,24.728,52.2278,0.4647,,,,,
,25.3,10.6831,0.4702,,,24.828,52.4399,0.4644,,,,,
,25.4,10.7247,0.4703,,,24.928,52.6515,0.464,,,,,
,25.5,10.767,0.4705,,,25.028,52.8631,0.4636,,,,,
,25.6,10.809,0.4702,,,25.128,53.0746,0.4633,,,,,
,25.7,10.8515,0.4705,,,25.228,53.2862,0.4631,,,,,
,25.8,10.8945,0.4702,,,25.328,53.4985,0.4626,,,,,
,25.9,10.9364,0.4707,,,25.428,53.7096,0.4623,,,,,
,26,10.9792,0.4706,,,25.528,53.9211,0.4619,,,,,
,26.1,11.0212,0.4706,,,25.628,54.1334,0.4617,,,,,
,26.2,11.0636,0.4707,,,25.728,54.3447,0.4612,,,,,
,26.3,11.1059,0.4707,,,25.828,54.5562,0.461,,,,,
,26.4,11.1477,0.4708,,,25.928,54.7684,0.4605,,,,,
,26.5,11.1906,0.471,,,26.028,54.9797,0.4603,,,,,
,26.6,11.2324,0.4709,,,26.128,55.1916,0.4599,,,,,
,26.7,11.2756,0.4713,,,26.228,55.403,0.4594,,,,,
,26.8,11.3172,0.471,,,26.328,55.6145,0.459,,,,,
,26.9,11.3601,0.4712,,,26.428,55.8266,0.4587,,,,,
,27,11.402,0.4712,,,26.528,56.038,0.4582,,,,,
