Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,14,0.5872,0.715,,,7,2.9383,2.8636,,,14,0.5881,0.2138,,,11.657,4.9092,1.6983
,14.1,0.5912,0.719,,,7.084,2.9734,2.8837,,,14.1,0.5919,0.2165,,,11.757,4.9511,1.6983
,14.2,0.5957,0.7242,,,7.167,3.0082,2.904,,,14.2,0.5962,0.2195,,,11.857,4.9944,1.6973
,14.3,0.5994,0.7276,,,7.245,3.0424,2.924,,,14.3,0.6004,0.2227,,,11.957,5.036,1.6978
,14.4,0.6044,0.7333,,,7.332,3.0786,2.944,,,14.4,0.6047,0.2252,,,12.057,5.0789,1.6956
,14.5,0.6083,0.737,,,7.422,3.1165,2.9642,,,14.5,0.6088,0.2281,,,12.157,5.1208,1.6956
,14.6,0.613,0.7424,,,7.506,3.1525,2.9843,,,14.6,0.6133,0.2316,,,12.257,5.1627,1.6926
,14.7,0.6166,0.7458,,,7.6,3.1917,3.0043,,,14.7,0.6175,0.2354,,,12.357,5.2053,1.6912
,14.8,0.6215,0.7516,,,7.685,3.2284,3.0244,,,14.8,0.6218,0.2391,,,12.457,5.2472,1.6888
,14.9,0.6251,0.7551,,,7.781,3.2686,3.0444,,,14.9,0.6259,0.2421,,,12.557,5.2905,1.6877
,15,0.6299,0.7609,,,7.878,3.3095,3.0646,,,15,0.6303,0.2452,,,12.657,5.3324,1.6845
,15.1,0.6333,0.7639,,,7.973,3.3501,3.0848,,,15.1,0.6345,0.2482,,,12.757,5.3755,1.6844
,15.2,0.6383,0.7697,,,8.073,3.3918,3.1043,,,15.2,0.6389,0.2507,,,12.857,5.4169,1.6811
,15.3,0.6418,0.7726,,,8.169,3.4335,3.1245,,,15.3,0.6427,0.2538,,,12.957,5.4594,1.6813
,15.4,0.6467,0.7783,,,8.269,3.475,3.1428,,,15.4,0.6472,0.2577,,,13.057,5.5015,1.678
,15.5,0.6502,0.7815,,,8.369,3.5179,3.1625,,,15.5,0.6511,0.2603,,,13.157,5.5439,1.6757
,15.6,0.6555,0.7874,,,8.469,3.5597,3.1802,,,15.6,0.6556,0.2646,,,13.257,5.5867,1.6735
,15.7,0.6588,0.7905,,,8.569,3.602,3.1985,,,15.7,0.6595,0.2672,,,13.357,5.6285,1.6717
,15.8,0.6639,0.7961,,,8.669,3.6447,3.2159,,,15.8,0.6643,0.2707,,,13.457,5.6716,1.6686
,15.9,0.6671,0.7989,,,8.769,3.6865,3.2328,,,15.9,0.6682,0.2731,,,13.557,5.7134,1.6659
,16,0.6723,0.8046,,,8.869,3.7295,3.2503,,,16,0.6728,0.2759,,,13.657,5.7559,1.6635
,16.1,0.6758,0.8077,,,8.969,3.7714,3.2661,,,16.1,0.6763,0.279,,,13.757,5.798,1.6623
,16.2,0.6805,0.8131,,,9.069,3.8143,3.2825,,,16.2,0.6813,0.2825,,,13.857,5.8401,1.66
,16.3,0.6842,0.8163,,,9.169,3.8564,3.2978,,,16.3,0.6849,0.2861,,,13.957,5.8829,1.6591
,16.4,0.689,0.8217,,,9.269,3.8988,3.3133,,,16.4,0.6897,0.29,,,14.057,5.9248,1.6561
,16.5,0.6927,0.8252,,,9.369,3.9411,3.3275,,,16.5,0.693,0.2919,,,14.157,5.9679,1.6531
,16.6,0.6973,0.8303,,,9.469,3.9826,3.3407,,,16.6,0.6983,0.2958,,,14.257,6.0095,1.6511
,16.7,0.7013,0.8342,,,9.569,4.0258,3.3555,,,16.7,0.7016,0.2975,,,14.357,6.0526,1.6493
,16.8,0.7059,0.8389,,,9.669,4.0674,3.3681,,,16.8,0.7067,0.3015,,,14.457,6.0944,1.6469
,16.9,0.71,0.843,,,9.769,4.1105,3.3822,,,16.9,0.7102,0.304,,,14.557,6.1369,1.6472
,17,0.7143,0.8477,,,9.869,4.1522,3.394,,,17,0.7153,0.3082,,,14.657,6.1792,1.6438
,17.1,0.7185,0.852,,,9.969,4.1952,3.4071,,,17.1,0.7187,0.3111,,,14.757,6.2209,1.6417
,17.2,0.7226,0.8562,,,10.069,4.2373,3.4186,,,17.2,0.7238,0.3153,,,14.857,6.264,1.6408
